Other Services,
service ,price
Threading ,50
menicure,
pedicure,
Body polishig,2000
head massage,350
Blow Dry ,200
Hair Wash,150
,
Bridal Makeup,
service ,price
Non HD Bridal Makeup,"8,000"
HD Bridal Makeup,"12,000"
Air Brush Bridal Makeup,"17,000"
Signature Bridal Makeup,"19,000"
Royal Signature Bridal Makeup,"21,000"
,
Engagement Makeup,
service ,price
Non HD Engagement Makeup,"4,000"
Basic HD Engagement Makeup,"5,000"
HD Engagement Makeup,"6,000"
Signature Engagement Makeup,"9,000"
,
Reception Makeup,
service ,price
Party Look Reception Makeup,"2,500"
HD Reception Makeup,"3,500"
Signature Reception Makeup,"4,600"
,
Party Makeup,
service ,price
Normal Party Makeup,"1,500"
HD Party Makeup,"2,000"
Signature Party Makeup,"2,500"
,
Facial,
service ,price
Fruit Facial,800
Daimond Facial,800
 Gold Facial,800
Pearl Facial,800
Whitening Facial,1500
o3+ Facai,1500
Hydra Facial,2500
,
,
Bleach,
service ,price
Fruit Bleach ,200
Gold Bleach,250
Daimond Bleach,250
OXY Bleach,300
Body Bleach,2000
,
Hair Cut,
service ,price
Straight Hair Cut ,100
U Shape Hair Cut,150
V Shape Hair Cut ,250
Step Hair Cut,300
Butter Fly Hair Cut,350
bulf Hair Cut,350
Bob Cut,250
Baby Cut,100
Boy Look Hair Cut,150
Bangs Hair Cut,70
,
WAX,
RICA,
service ,price
Full Body Wax ,4000
Full Hand Wax,400
Full Leg Wax,1000
Half Leg Wax,500
Under Arms Wax,120
HONEY ,
service ,price
Full Body Wax ,2000
Full Hand Wax,200
Full Leg Wax,500
Half Leg Wax,250
Under Arms Wax,70
,
Nail Extention,
service ,price
Press On Nails,800
Basic Nail Extention,1200
Glitter Nail Extention,1500
Stone art Nail Extention,2000
,
Hair Treatment,
service ,price
Keratin Treatment,2500
Smoothning ,3000
Botox,3500
Permanent Hair Straightening,3000
 Root Touchup Hair Color,1000
Global Hair Colour,3500
Hair Highlights,3000
Note:  Price Depands on Length And Dancity,
